trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
70,0,70,0,,,,,,,142.74321223099992,141.543790402,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
71,0,71,0,,,,,,,144.37795222199998,142.94731207899997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
72,0,72,0,,,,,,,146.094704858,144.58213632699994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
73,0,73,0,,,,,,,147.51611091999996,146.2966674989999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
74,0,74,0,,,,,,,149.29767023399995,147.73208004999992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
75,0,75,0,,,,,,,150.71268111899997,149.51606677099994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
76,0,76,0,,,,,,,152.396774811,150.91582058999995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
77,0,77,0,,,,,,,153.98037646399996,152.602126569,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
78,0,78,0,,,,,,,155.91427779699995,154.184579053,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
79,0,79,0,,,,,,,157.50040013399996,156.1151907709999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
80,0,80,0,,,,,,,159.39978097999995,157.7191698549999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
81,0,81,0,,,,,,,161.25506433599992,159.59989709899992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
82,0,82,0,,,,,,,162.95242984499998,161.4664583199999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
83,0,83,0,,,,,,,164.95664482099994,163.16792489,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
84,0,84,0,,,,,,,166.401116312,165.171577565,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
85,0,85,0,,,,,,,168.27272138599994,166.60471330999997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
86,0,86,0,,,,,,,169.9709775629999,168.48508948899996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
87,0,87,0,,,,,,,171.754714486,170.18612111999994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
88,0,88,0,,,,,,,173.45344876399997,171.97205737699994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
89,0,89,0,,,,,,,175.091150341,173.654428188,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
90,0,90,0,,,,,,,177.00660134499992,175.30478799499997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
91,0,91,0,,,,,,,178.94268179999995,177.20500547999995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
92,0,92,0,,,,,,,180.47258707899994,179.155684349,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
93,0,93,0,,,,,,,182.00805284699993,180.67244388199992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
94,0,94,0,,,,,,,183.77365202,182.210367389,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
95,0,95,0,,,,,,,185.57452305899994,183.97683279399996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
96,0,96,0,,,,,,,187.52520325699993,185.7742337599999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
97,0,97,0,,,,,,,189.276013746,187.72544112399999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
98,0,98,0,,,,,,,190.77875429899996,189.47601724899994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
99,0,99,0,,,,,,,192.22802121999996,190.97634444999994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
100,0,100,0,,,,,,,193.78066084699992,192.42780225299998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
101,0,101,0,,,,,,,195.48109395099993,193.97878119999996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
102,0,102,0,,,,,,,197.39510735599993,195.69420115399998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
